srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
57457,2013-06-21 16:58:59,9,59,,,59,67030,3,4.0,0,3.33,0.1545,0.0,27,42.84,1,5454,2,24,2,2,1,0,,541.73,1,,,,,,,,,,,,,1.0,0.0,7.0,,,,,,,,,,0,,0
591391,2013-06-02 20:20:27,5,219,,,219,2379,4,3.5,1,1.95,,4.72,25,120.0,0,2480,2,3,2,0,1,0,,240.44,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2029,2012-12-12 16:16:27,26,39,,,220,110480,3,3.5,0,4.65,0.4446,4.91,2,92.55,0,2862,4,70,1,0,1,0,-8.2725,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
46547,2013-06-20 09:50:24,5,219,,,219,43221,3,4.5,1,4.06,0.3661,0.0,12,179.0,0,27182,2,8,2,0,1,1,,835.59,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
444263,2013-02-06 21:12:43,5,219,,,219,52119,2,3.5,1,3.26,,4.02,15,45.0,0,3855,2,2,2,0,1,1,,124.13,0,,,,0.0,0.0,,0.0,0.0,,,,,-1.0,0.0,13.0,,,,,,,-1.0,0.0,13.0,0,,0
72407,2013-03-12 11:09:52,5,219,,,219,122268,4,4.0,1,2.64,,5.24,21,278.0,0,20459,1,18,3,1,1,1,,,0,,,,0.0,0.0,,,1.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
225619,2013-03-05 09:48:55,5,219,,,219,11772,3,4.0,1,2.4,,4.8,15,100.0,0,23742,2,9,4,1,1,1,,,0,,,,0.0,0.0,,-1.0,0.0,5.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
497596,2013-03-03 08:58:49,5,219,,,230,89817,3,4.5,0,0.69,,5.51,16,229.0,0,15306,5,98,4,0,1,0,,1740.95,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
515332,2013-01-08 16:31:54,5,219,,,219,28753,3,4.0,0,1.39,0.022,5.45,13,159.0,0,27620,2,50,2,0,1,0,,161.01,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
487995,2013-06-25 19:24:36,5,219,,,219,22114,3,3.0,1,0.69,,0.0,36,75.0,0,27172,1,3,2,1,1,1,,100.73,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,0,,0
